sample,in_db,out_db,gain_db
88,-10.000000,-8.607447,1.421467
89,-10.000000,-8.578541,1.450581
90,-10.000000,-8.549427,1.479899
91,-10.000000,-8.520110,1.509416
92,-10.000000,-8.490594,1.539129
93,-10.000000,-8.460881,1.569034
94,-10.000000,-8.430977,1.599128
95,-10.000000,-8.400886,1.629442
96,-10.000000,-8.370573,1.659934
97,-10.000000,-8.340083,1.690600
98,-10.000000,-8.309417,1.721437
99,-10.000000,-8.278582,1.752440
100,-10.000000,-8.247580,1.783606
101,-10.000000,-8.216416,1.814931
102,-10.000000,-8.185093,1.846410
103,-10.000000,-8.153616,1.878040
104,-10.000000,-8.121988,1.909817
105,-10.000000,-8.090214,1.941737
106,-10.000000,-8.058298,1.973795
107,-10.000000,-8.026242,2.005987
108,-10.000000,-7.994052,2.038310
109,-10.000000,-7.961732,2.070760
110,-10.000000,-7.929286,2.103332
111,-10.000000,-7.896718,2.136022
112,-10.000000,-7.864032,2.168826
113,-10.000000,-7.831231,2.201740
114,-10.000000,-7.798321,2.234760
115,-10.000000,-7.765306,2.267882
116,-10.000000,-7.732189,2.301101
117,-10.000000,-7.698975,2.334415
118,-10.000000,-7.665666,2.367817
119,-10.000000,-7.632269,2.401305
120,-10.000000,-7.598788,2.434875
121,-10.000000,-7.565224,2.468521
122,-10.000000,-7.531585,2.502241
123,-10.000000,-7.497872,2.536030
124,-10.000000,-7.464090,2.569885
125,-10.000000,-7.430244,2.603800
126,-10.000000,-7.396337,2.637773
127,-10.000000,-7.362372,2.671799
128,-10.000000,-7.328356,2.705874
129,-10.000000,-7.294290,2.739994
130,-10.000000,-7.260180,2.774156
131,-10.000000,-7.226028,2.808356
132,-10.000000,-7.191839,2.842590
133,-10.000000,-7.157617,2.876854
134,-10.000000,-7.123366,2.911144
135,-10.000000,-7.089089,2.945456
136,-10.000000,-7.054788,2.979788
137,-10.000000,-7.020471,3.014134
138,-10.000000,-6.986139,3.048493
139,-10.000000,-6.951795,3.082859
140,-10.000000,-6.917445,3.117230
141,-10.000000,-6.883090,3.151602
142,-10.000000,-6.848735,3.185972
143,-10.000000,-6.814382,3.220336
144,-10.000000,-6.780037,3.254690
145,-10.000000,-6.745702,3.289033
146,-10.000000,-6.711379,3.323359
147,-10.000000,-6.677073,3.357666
148,-10.000000,-6.642787,3.391952
149,-10.000000,-6.608524,3.426211
150,-10.000000,-6.574287,3.460443
151,-10.000000,-6.540080,3.494643
152,-10.000000,-6.505903,3.528809
153,-10.000000,-6.471763,3.562937
154,-10.000000,-6.437661,3.597025
155,-10.000000,-6.403600,3.631071
156,-10.000000,-6.369583,3.665070
157,-10.000000,-6.335612,3.699021
158,-10.000000,-6.301692,3.732920
159,-10.000000,-6.267822,3.766766
